Title,Source,PublishedAt,Url
Microsoft will charge businesses $30 per user for its 365 AI Copilot - Engadget,Engadget,2023-07-18T15:31:59Z,https://www.engadget.com/microsoft-will-charge-businesses-30-per-user-for-its-365-ai-copilot-153042654.html
Microsoft's new Bing Chat Enterprise offers better privacy for businesses - The Verge,The Verge,2023-07-18T15:30:00Z,https://www.theverge.com/2023/7/18/23797317/microsoft-bing-chat-enterprise-generative-ai-gpt-chatbot
"Mammals may have hunted down dinosaurs for dinner, rare fossil suggests - The Associated Press",Associated Press,2023-07-18T15:11:00Z,https://apnews.com/article/mammals-eating-dinosaurs-cretaceous-af0ccd6f491e01ec779753b03568c61c
Gigi Hadid Released After Being Arrested for Marijuana in Cayman Islands - E! NEWS,Eonline.com,2023-07-18T14:36:00Z,https://www.eonline.com/news/1380481/gigi-hadid-released-after-being-arrested-for-marijuana-in-cayman-islands
Europe on red alert as heatwave brings health warning - Reuters,Reuters,2023-07-18T14:32:00Z,https://www.reuters.com/world/wmo-warns-risk-heart-attacks-deaths-heatwave-intensifies-2023-07-18/
Eli Lilly says FDA approval of Alzheimer’s drug donanemab could come later this year - Fox Business,Fox Business,2023-07-18T14:14:08Z,https://www.foxbusiness.com/lifestyle/eli-lilly-fda-approval-alzheimers-drug-donanemab-could-come-later-this-year
Browns unveil white alternate throwback helmets - clevelandbrowns.com,clevelandbrowns.com,2023-07-18T14:02:21Z,https://www.clevelandbrowns.com/news/browns-unveil-white-alternate-throwback-helmets
Donald Trump says he’s a target of special counsel’s criminal probe into 2020 election aftermath - CNN,CNN,2023-07-18T13:54:00Z,https://www.cnn.com/2023/07/18/politics/trump-special-counsel-probe/index.html
Carlee Russell: Parents say missing Alabama woman 'fought for her life' after disappearance - FOX 5 Atlanta,FOX 5 Atlanta,2023-07-18T13:47:23Z,https://www.fox5atlanta.com/news/carlee-russell-parents-abduction-update-investigation-latest
SAG-AFTRA Strike: Why There Won’t Be Sympathy Strikes in the U.K. - Hollywood Reporter,Hollywood Reporter,2023-07-18T13:45:47Z,https://www.hollywoodreporter.com/business/business-news/actors-strike-no-uk-sympathy-strike-equity-sag-aftra-1235538641/
"S&P 500 is flat following weak retail sales, so-so earnings: Live updates - CNBC",CNBC,2023-07-18T13:42:00Z,https://www.cnbc.com/2023/07/17/stock-market-today-live-updates.html
"Miranda Lambert calls out fans for taking selfies during concert, fan responds - GMA",GMA,2023-07-18T13:26:53Z,https://www.goodmorningamerica.com/culture/story/miranda-lambert-calls-fans-taking-selfies-concert-speaks-out-101400575
An American national has crossed into North Korea without authorization and has been detained - 6abc Philadelphia,YouTube,2023-07-18T13:21:59Z,https://www.youtube.com/watch?v=eOj7t_MybIs
Russia targets Ukraine's port of Odesa and calls it payback for a strike on a key bridge to Crimea - ABC News,ABC News,2023-07-18T13:18:45Z,https://abcnews.go.com/International/wireStory/russia-targets-key-ukraine-black-sea-port-odesa-101396682
Timothy Olyphant Loves Being TV’s Ultimate Cowboy - Rolling Stone,Rolling Stone,2023-07-18T13:00:00Z,https://www.rollingstone.com/tv-movies/tv-movie-features/timothy-olyphant-interview-justified-city-primeval-the-mandalorian-deadwood-cowboy-1234783927/
People who cram week’s exercise into two days still reap heart benefits – study - The Guardian,The Guardian,2023-07-18T15:32:00Z,https://www.theguardian.com/society/2023/jul/18/people-who-cram-weeks-exercise-into-two-days-reap-similar-heart-benefits-study
Activision copyright strikes seem to confirm Call of Duty: Modern Warfare 3 title - Eurogamer.net,Eurogamer.net,2023-07-18T11:05:04Z,https://www.eurogamer.net/activision-copyright-strikes-seem-to-confirm-call-of-duty-modern-warfare-3-title
Carlos Alcaraz reveals Nadal message before Wimbledon final - Tennishead,Tennishead,2023-07-18T11:00:30Z,https://tennishead.net/carlos-alcaraz-reveals-rafael-nadal-message-before-wimbledon-final/
Commonwealth Games: 2026 event in doubt after Victoria cancels - BBC,BBC News,2023-07-18T02:17:54Z,https://www.bbc.com/news/world-australia-66229574
